OfferGroupID,App1,App2,App3,App4,Value claim,PriceRange,Selling Price,,,,Service,Price,,
OfferGroup1,Viu,-,-,-,149,Pack 0,59,,,,Viu,149,,
OfferGroup2,WeTV,-,-,-,129,Pack 0,59,,,,WeTV,129,,
OfferGroup3,iQIYI VIP Standard,-,-,-,119,Pack 0,59,,,,iQIYI VIP Standard,119,,
OfferGroup4,oneD,-,-,-,99,Pack 0,59,,,,oneD,99,,
OfferGroup5,True Plus,-,-,-,119,Pack 0,59,,,,True Plus,119,,
OfferGroup6,True ID Short,-,-,-,349,Pack 0,69,,,,True ID Short,349,,
OfferGroup7,YouTube Premium,-,-,-,179,Pack 0,159,,,,YouTube Premium,179,,
OfferGroup8,Netflix Mobile,-,-,-,99,Pack 0,99,,,,Netflix Mobile,99,,
OfferGroup9,Netflix Basic,-,-,-,169,Pack 0,169,,,,Netflix Basic,169,,
OfferGroup10,Netflix Standard,-,-,-,349,Pack 0,349,,,,Netflix Standard,349,,
OfferGroup11,Netflix Premium,-,-,-,419,Pack 0,419,,,,Netflix Premium,419,,
OfferGroup12,Viu,WeTV,-,-,278,Pack 1,119,,,,,,,
OfferGroup13,Viu,iQIYI VIP Standard,-,-,268,Pack 1,119,,,,,,,
OfferGroup14,Viu,oneD,-,-,248,Pack 1,119,,,,,,,
OfferGroup15,Viu,True Plus,-,-,268,Pack 1,119,,,,,,,
OfferGroup16,WeTV,iQIYI VIP Standard,-,-,248,Pack 1,119,,,,,,,
OfferGroup17,WeTV,oneD,-,-,228,Pack 1,119,,,,,,,
OfferGroup18,WeTV,True Plus,-,-,248,Pack 1,119,,,,,,,
OfferGroup19,iQIYI VIP Standard,oneD,-,-,218,Pack 1,119,,,,,,,
OfferGroup20,iQIYI VIP Standard,True Plus,-,-,238,Pack 1,119,,,,,,,
OfferGroup21,oneD,True Plus,-,-,218,Pack 1,119,,,,,,,
OfferGroup22,Viu,Netflix Mobile,-,-,248,Pack 1,119,,,,,,,
OfferGroup23,WeTV,Netflix Mobile,-,-,228,Pack 1,119,,,,,,,
OfferGroup24,iQIYI VIP Standard,Netflix Mobile,-,-,218,Pack 1,119,,,,,,,
OfferGroup25,oneD,Netflix Mobile,-,-,198,Pack 1,119,,,,,,,
OfferGroup26,True Plus,Netflix Mobile,-,-,218,Pack 1,119,,,,,,,
